Group 1 ,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
1,117.2,6.8,5.12E+02,359.2,10,5.12E+02,01:35:30,4.98E+02,-0.312497033,0.027839644,-0.918007734,0.058020478,1,0,0,86400
2,206.2,7.6685,5.13E+02,364.5,8.5147,5.12E+02,06:23:30,4.98E+02,-0.301271474,0.023359945,-0.663393599,0.037189622,2,103680,1.2,
3,360.2,7.84925,5.13E+02,367.5,13.3708/2,5.12E+02,20:43:30,4.98E+02,-0.294995485,#VALUE!,-0.312032443,0.021791366,3,241680,2.797222222,
4,530.2,8.665,5.13E+02,373.5,9.6796,5.12E+02,11:11:30,4.98E+02,-0.28241694,0.02591593,0.034974976,0.016342889,5,380160,4.4,
5,673.5,8.6811,5.13E+02,375.5,8.00175,5.12E+02,20:27:30,4.98E+02,-0.27825528,0.021309587,0.328632694,0.012889532,6,499920,5.786111111,
6,782.8,8.16665,5.13E+02,373.5,7.3409,5.12E+02,23:59:30,4.98E+02,-0.282431142,0.019654351,0.573404092,0.010432614,7,599040,6.933333333,
7,880.5,5,5.13E+02,366.5,7.00795,5.12E+02,06:23:30,4.98E+02,-0.297142165,0.019121282,0.831752372,0.005678592,9,708480,8.2,
8,932.8,3.503965,5.13E+02,356.5,6.3683,5.12E+02,11:11:30,4.98E+02,-0.318263305,0.017863394,1.004524239,0.003756395,10,812160,9.4,
9,979.5,1.33335,5.13E+02,350.2,7.7475,5.12E+02,19:11:30,4.98E+02,-0.331669079,0.022123073,1.215261786,0.001361256,11,927360,10.73333333,
10,,,5.13E+02,,,5.12E+02,23:59:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,12,1031040,11.93333333,
11,,,5.13E+02,,,5.12E+02,06:23:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,14,1140480,13.2,
12,,,5.13E+02,,,5.12E+02,11:11:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,15,1244160,14.4,
13,,,5.13E+02,,,5.12E+02,17:35:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,16,1353600,15.66666667,
,,,,,,,,,,,,,,,,
Group 2,x,xerr,center x,y,yerr,centery,time,R_Sun,latitude,lat err,longitude,long err,day,0,Time (day),day
1,236,6,5.12E+02,579,8,5.12E+02,01:35:30,4.98E+02,0.134947363,0.013816926,-0.587421827,0.025423729,1,103680,1.2,86400
2,358,8,5.13E+02,582.9,8,5.12E+02,06:23:30,4.98E+02,0.142854868,0.013724481,-0.316502802,0.022346369,2,241680,2.797222222,
3,536,6,5.13E+02,587,7,5.12E+02,20:43:30,4.98E+02,0.151177604,0.011925043,0.046201174,0.01119403,3,380160,4.4,
4,713,6,5.13E+02,587,8,5.12E+02,11:11:30,4.98E+02,0.151177604,0.01362862,0.413270272,0.008415147,5,499920,5.786111111,
5,848,6,5.13E+02,580,6,5.12E+02,20:27:30,4.98E+02,0.136974099,0.010344828,0.737839345,0.007075472,6,599040,6.933333333,
6,935,4,5.13E+02,573,7,5.12E+02,23:59:30,4.98E+02,0.122798349,0.012216405,1.011049485,0.004278075,7,708480,8.2,
7,992,3,5.13E+02,561,5,5.12E+02,06:23:30,4.98E+02,0.098553033,0.008912656,1.29367645,0.003024194,9,812160,9.4,
8,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,10,927360,10.73333333,
